ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,ADM0_EN,M_00_04,F_00_04,T_00_04,M_05_09,F_05_09,T_05_09,M_10_14,F_10_14,T_10_14,M_15_19,F_15_19,T_15_19,M_20_24,F_20_24,T_20_24,M_25_29,F_25_29,T_25_29,M_30_34,F_30_34,T_30_34,M_35_39,F_35_39,T_35_39,M_40_44,F_40_44,T_40_44,M_45_49,F_45_49,T_45_49,M_50_54,F_50_54,T_50_54,M_55_59,F_55_59,T_55_59,M_60_64,F_60_64,T_60_64,M_65_69,F_65_69,T_65_69,M_70_74,F_70_74,T_70_74,M_75_79,F_75_79,T_75_79,M_80_84,F_80_84,T_80_84,M_85_89,F_85_89,T_85_89,M_90_94,F_90_94,T_90_94,M_95Plus,F_95Plus,T_95Plus,M_TL,F_TL,T_TL
FJ201,Ba,FJ2,Western,FJ,Fiji Islands,12146,11635,23781,11826,11106,22932,10605,10197,20802,9778,9447,19225,10490,10674,21164,10249,9736,19985,10314,9778,20092,10141,9457,19598,8207,7563,15770,7318,6989,14307,7334,6967,14301,6368,6213,12581,4300,4740,9040,2889,3320,6209,1738,2262,4000,950,1375,2325,404,616,1020,135,278,413,39,65,104,10,26,36,125241,122444,247685
FJ102,Bua ,FJ1,Northern,FJ,Fiji Islands,1057,941,1998,943,965,1908,943,874,1817,642,544,1186,431,390,821,523,515,1038,534,533,1067,559,506,1065,485,383,868,407,392,799,426,354,780,356,334,690,294,233,527,175,185,360,131,139,270,72,85,157,36,58,94,12,21,33,2,9,11,0,0,0,8028,7461,15489
FJ103,Cakaudrove,FJ1,Northern,FJ,Fiji Islands,3268,3111,6379,3048,2950,5998,2784,2561,5345,2218,2113,4331,1712,1427,3139,1786,1695,3481,1938,1677,3615,1764,1605,3369,1670,1306,2976,1364,1279,2643,1411,1178,2589,1171,974,2145,830,745,1575,559,564,1123,396,441,837,231,266,497,105,132,237,37,83,120,7,21,28,10,10,20,26309,24138,50447
FJ304,Kadavu,FJ3,Eastern,FJ,Fiji Islands,772,680,1452,683,671,1354,603,545,1148,411,294,705,400,252,652,475,390,865,452,393,845,429,332,761,329,247,576,285,193,478,277,241,518,265,183,448,213,164,377,151,121,272,119,87,206,59,52,111,32,35,67,13,18,31,0,3,3,0,0,0,5968,4901,10869
FJ305,Lau,FJ3,Eastern,FJ,Fiji Islands,567,527,1094,658,616,1274,570,501,1071,351,254,605,276,224,500,332,287,619,336,284,620,325,297,622,255,194,449,278,268,546,319,253,572,271,216,487,197,142,339,146,128,274,92,86,178,73,74,147,37,43,80,27,23,50,5,5,10,2,0,2,5117,4422,9539
FJ306,Lomaiviti,FJ3,Eastern,FJ,Fiji Islands,921,840,1761,1028,1014,2042,927,894,1821,780,821,1601,427,359,786,516,502,1018,543,529,1072,542,474,1016,423,409,832,454,367,821,416,370,786,375,309,684,278,235,513,205,152,357,142,119,261,86,89,175,31,53,84,7,14,21,0,5,5,0,1,1,8101,7556,15657
FJ107,Macuata,FJ1,Northern,FJ,Fiji Islands,3149,3024,6173,3105,3173,6278,3072,3005,6077,2935,2902,5837,2448,2172,4620,2404,2261,4665,2260,2088,4348,2425,2342,4767,2224,2066,4290,2160,2077,4237,2232,2126,4358,1805,1746,3551,1237,1351,2588,784,970,1754,463,715,1178,275,436,711,140,220,360,45,86,131,17,27,44,2,9,11,33182,32796,65978
FJ208,Nadroga/Navosa,FJ2,Western,FJ,Fiji Islands,3133,3043,6176,3044,2854,5898,2669,2600,5269,2193,2054,4247,2240,2162,4402,2314,2205,4519,2528,2262,4790,2436,2168,4604,1942,1682,3624,1840,1621,3461,1834,1645,3479,1490,1418,2908,1000,1062,2062,759,770,1529,455,544,999,260,319,579,109,148,257,39,72,111,6,15,21,3,2,5,30294,28646,58940
FJ409,Naitasiri,FJ4,Central,FJ,Fiji Islands,9535,8976,18511,8738,8246,16984,7530,7497,15027,7380,7741,15121,8464,8510,16974,7661,7625,15286,7401,7292,14693,6594,6541,13135,5257,5255,10512,4875,4841,9716,4405,4800,9205,3820,4157,7977,2701,3092,5793,1806,2170,3976,1082,1415,2497,521,834,1355,230,447,677,77,172,249,21,42,63,9,11,20,88107,89664,177771
FJ410,Namosi,FJ4,Central,FJ,Fiji Islands,477,461,938,494,423,917,468,439,907,487,406,893,300,279,579,250,251,501,267,248,515,249,253,502,237,235,472,210,194,404,192,198,390,133,142,275,130,100,230,85,72,157,42,57,99,28,27,55,10,18,28,8,10,18,1,2,3,2,0,2,4070,3815,7885
FJ211,Ra,FJ2,Western,FJ,Fiji Islands,1785,1705,3490,1798,1677,3475,1556,1532,3088,1321,1201,2522,925,889,1814,983,1058,2041,1139,1068,2207,1066,988,2054,919,846,1765,928,841,1769,873,834,1707,766,653,1419,543,569,1112,381,414,795,276,284,560,175,198,373,56,98,154,24,32,56,4,9,13,0,2,2,15518,14898,30416
FJ412,Rewa,FJ4,Central,FJ,Fiji Islands,5426,4939,10365,5168,4840,10008,4446,4322,8768,4527,4922,9449,6109,5769,11878,4694,4543,9237,4521,4362,8883,3981,3833,7814,3216,3152,6368,2858,2889,5747,2644,2734,5378,2356,2443,4799,1699,1794,3493,1144,1344,2488,761,880,1641,381,568,949,214,318,532,70,145,215,18,23,41,9,12,21,54242,53832,108074
