ADM3_PCODE,ADM3_EN,ADM2_PCODE,ADM2_EN,ADM1_PCODE,ADM1_EN,ADM0_PCODE,ADM0_EN,M_00_04,F_00_04,T_00_04,M_05_09,F_05_09,T_05_09,M_10_14,F_10_14,T_10_14,M_15_19,F_15_19,T_15_19,M_20_24,F_20_24,T_20_24,M_25_29,F_25_29,T_25_29,M_30_34,F_30_34,T_30_34,M_35_39,F_35_39,T_35_39,M_40_44,F_40_44,T_40_44,M_45_49,F_45_49,T_45_49,M_50_54,F_50_54,T_50_54,M_55_59,F_55_59,T_55_59,M_60_64,F_60_64,T_60_64,M_65_69,F_65_69,T_65_69,M_70_74,F_70_74,T_70_74,M_75_79,F_75_79,T_75_79,M_80_84,F_80_84,T_80_84,M_85_89,F_85_89,T_85_89,M_90_94,F_90_94,T_90_94,M_95Plus,F_95Plus,T_95Plus,M_TL,F_TL,T_TL
FJ20101,Ba,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,1731,1612,3343,1790,1655,3445,1690,1615,3305,1624,1413,3037,1526,1402,2928,1538,1353,2891,1623,1339,2962,1679,1479,3158,1286,1181,2467,1284,1236,2520,1339,1229,2568,1186,1160,2346,798,876,1674,529,622,1151,336,440,776,192,284,476,88,120,208,23,63,86,10,14,24,2,5,7,20274,19098,39372
FJ20102,Magodro,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,299,262,561,252,246,498,236,228,464,169,152,321,161,139,300,179,151,330,191,154,345,204,174,378,157,119,276,135,123,258,161,165,326,151,123,274,94,81,175,62,59,121,52,38,90,24,30,54,7,13,20,4,7,11,1,1,2,0,2,2,2539,2267,4806
FJ20103,Nadi,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,2954,2740,5694,2744,2637,5381,2325,2367,4692,2259,2206,4465,2630,2692,5322,2796,2620,5416,2651,2638,5289,2503,2409,4912,2011,1910,3921,1739,1683,3422,1735,1551,3286,1348,1404,2752,958,1105,2063,641,768,1409,378,537,915,188,281,469,92,117,209,23,48,71,8,17,25,0,4,4,29983,29734,59717
FJ20104,Naviti,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,154,184,338,181,169,350,157,142,299,101,84,185,87,89,176,146,123,269,120,106,226,100,85,185,60,64,124,72,71,143,81,95,176,81,63,144,58,49,107,35,35,70,28,27,55,21,19,40,8,8,16,2,3,5,0,1,1,1,0,1,1493,1417,2910
FJ20105,Nawaka,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,852,879,1731,825,746,1571,698,660,1358,636,611,1247,682,741,1423,710,677,1387,747,667,1414,738,649,1387,507,449,956,416,396,812,419,426,845,384,390,774,242,291,533,143,173,316,66,109,175,44,74,118,12,34,46,6,12,18,1,7,8,0,2,2,8128,7993,16121
FJ20106,Tavua,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,1242,1170,2412,1271,1162,2433,1177,1096,2273,921,896,1817,792,783,1575,771,791,1562,874,818,1692,901,841,1742,789,710,1499,708,649,1357,727,659,1386,624,552,1176,434,437,871,339,303,642,206,215,421,102,142,244,43,71,114,17,22,39,6,0,6,4,4,8,11948,11321,23269
FJ20107,Vuda,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,4771,4633,9404,4633,4352,8985,4218,4004,8222,4019,4048,8067,4534,4773,9307,3998,3937,7935,4004,3962,7966,3941,3753,7694,3340,3080,6420,2912,2777,5689,2801,2769,5570,2535,2462,4997,1658,1866,3524,1114,1328,2442,657,879,1536,364,529,893,144,248,392,53,119,172,12,25,37,3,9,12,49711,49553,99264
FJ20108,Yasawa,FJ201,Ba ,FJ2,Western,FJ,Fiji Islands,143,155,298,130,139,269,104,85,189,49,37,86,78,55,133,111,84,195,104,94,198,75,67,142,57,50,107,52,54,106,71,73,144,59,59,118,58,35,93,26,32,58,15,17,32,15,16,31,10,5,15,7,4,11,1,0,1,0,0,0,1165,1061,2226
FJ10201,Bua,FJ102,Bua ,FJ1,Northern,FJ,Fiji Islands,363,361,724,353,360,713,350,347,697,245,221,466,148,148,296,190,213,403,182,208,390,239,219,458,223,162,385,186,174,360,187,141,328,137,162,299,121,101,222,73,97,170,53,67,120,33,36,69,14,25,39,4,8,12,0,2,2,0,0,0,3101,3052,6153
FJ10202,Vuya,FJ102,Bua ,FJ1,Northern,FJ,Fiji Islands,363,301,664,311,301,612,311,257,568,214,163,377,133,116,249,161,170,331,178,175,353,166,151,317,140,123,263,115,122,237,114,106,220,116,98,214,94,73,167,56,48,104,37,43,80,18,25,43,13,19,32,4,4,8,2,3,5,0,0,0,2546,2298,4844
